"ko","pval","chisq","n","avg_fc","module","padj","lpadj","avg_lfc","lfc"
"Zfhx4",2.47522300048367e-06,178.255005085281,44,0.941106302100634,"cluster4turquoise",2.87926675497438e-05,4.54071809724535,-0.0875704039721625,-0.0875704039721625
"Xirp2",2.79454171467799e-13,238.129182210339,48,0.828359541450566,"cluster4turquoise",6.82247684046385e-12,11.1660579299088,-0.271671003393204,-0.271671003393204
"Vps13b",0.358355014047643,104.533861433601,41,0.950037475283585,"cluster4turquoise",1,0,-0.0739436716127927,-0.0739436716127927
"Vcan",0.00630127316940449,138.742814254541,45,0.815013963527157,"cluster4turquoise",0.0407881102864071,1.38946641508489,-0.295103317827316,-0.295103317827316
"Ush2a",0.972159829286208,74.7605411836377,38,0.96875616562641,"cluster4turquoise",1,0,-0.045794507584388,-0.045794507584388
"Unc13c",0.438094529327143,101.545128570973,47,0.926997779653322,"cluster4turquoise",1,0,-0.109362211578064,-0.109362211578064
"Ttn",7.95521288967317e-28,339.506017217847,47,0.795871860948899,"cluster4turquoise",4.62689220274373e-26,20,-0.329391925996422,-0.329391925996422
"Trp63",0.860843222007932,84.8349718180133,48,0.8264475955543,"cluster4turquoise",1,0,-0.275004752721094,-0.275004752721094
"Trp53",0.999882773879091,56.1084038225823,38,0.954526849802869,"cluster4turquoise",1,0,-0.0671423152438578,-0.0671423152438578
"Tpcn2",4.59724198924566e-07,185.377991310801,43,1.30607366220123,"cluster4turquoise",5.90327664528136e-06,5.22890686395754,0.385236266789014,0.385236266789014
"Tnxb",0.000408539574706815,154.224747290726,44,0.837469080361867,"cluster4turquoise",0.00348979269538975,2.4572003707263,-0.255892168229058,-0.255892168229058
"Tnni3k",0.885303752073206,83.3510744515747,41,0.996830578118149,"cluster4turquoise",1,0,-0.00457977068396773,-0.00457977068396773
"Thsd7a",0.770759035965145,89.2536364156566,46,0.959450004397413,"cluster4turquoise",1,0,-0.0597204633360566,-0.0597204633360566
"Tet1",1.55127812641965e-55,505.969151549182,49,1.34811330853843,"cluster4turquoise",1.85918333029991e-53,20,0.430941759721925,0.4
"Tenm1",0.674885538069363,93.0826869186201,40,1.0232946174372,"cluster4turquoise",1,0,0.0332215721824742,0.0332215721824742
"Syne2",7.67168227650075e-10,210.297879313065,48,0.733958097567701,"cluster4turquoise",1.33663010588372e-08,7.87398876117437,-0.446230394430444,-0.4
"Syne1",0.158273401976056,114.119659829268,45,1.22995998838798,"cluster4turquoise",0.625971304815303,0.203445574850283,0.298611384269276,0.298611384269276
"Spta1",0.770320685076948,89.2725919420737,44,0.985237398791312,"cluster4turquoise",1,0,-0.0214567025085637,-0.0214567025085637
"Sphkap",0.00773147843997273,137.457515440025,43,0.927253270388973,"cluster4turquoise",0.0486136680923563,1.31324160846325,-0.108964643816523,-0.108964643816523
"Spag17",0.65325229925053,93.8851978610111,39,1.02693608100615,"cluster4turquoise",1,0,0.038346387610107,0.038346387610107
"Sox2",0.90217851365952,82.2028258607906,43,1.01189985100509,"cluster4turquoise",1,0,0.0170665117634678,0.0170665117634678
"Slit2",0.000789804402178754,150.730995437965,45,0.856170551202595,"cluster4turquoise",0.00639799514943843,2.19395609350682,-0.224029881362148,-0.224029881362148
"Sis",0.00122233350175929,148.344730652111,43,1.2511650550394,"cluster4turquoise",0.00941046277716906,2.02638901880133,0.323272123939645,0.323272123939645
"Shank2",0.651037497071672,93.9665198018344,42,0.976466261580032,"cluster4turquoise",1,0,-0.03435789725973,-0.03435789725973
"Scn9a",0.661393546741103,93.5849968673194,40,1.17470306274367,"cluster4turquoise",1,0,0.232296123559606,0.232296123559606
"Ryr3",0.991387575492527,69.4491732941356,40,1.01055394674554,"cluster4turquoise",1,0,0.0151463396541581,0.0151463396541581
"Ryr2",0.81058858215792,87.4471582458251,39,1.090514299687,"cluster4turquoise",1,0,0.125008687862439,0.125008687862439
"Ryr1",2.34847127572302e-10,214.631456115694,47,0.671177067814469,"cluster4turquoise",4.32009483510909e-09,8.36450671940904,-0.57523467099808,-0.4
"Runx1t1",0.00812933451416341,137.13862776,46,1.20869980842001,"cluster4turquoise",0.0507121735071235,1.29488777533418,0.273455982651878,0.273455982651878
"Rp1",0.806177983355243,87.6564476781693,40,1.00678147115168,"cluster4turquoise",1,0,0.00975057043595978,0.00975057043595978
"Ros1",1.15323889912889e-10,217.201778793658,48,0.746852512511723,"cluster4turquoise",2.17193326002607e-09,8.66315352404071,-0.421104725335043,-0.4
"Reln",0.982504706684265,72.5172012729043,44,1.00787215858584,"cluster4turquoise",1,0,0.0113126548388734,0.0113126548388734
"Ptprd",0.940731722130337,78.9375643991691,39,0.949903373978436,"cluster4turquoise",1,0,-0.074147327730099,-0.074147327730099
"Prkdc",0.0744835320313724,121.075344537532,46,1.05915267978034,"cluster4turquoise",0.341308639228089,0.466852718690006,0.0829105727909605,0.0829105727909605
"Prex2",9.61691852105433e-05,161.509360318878,45,1.16656177584556,"cluster4turquoise",0.000918717699293959,3.03681791676761,0.2222627079618,0.2222627079618
"Ppfia1",0.994683708851362,67.5581431571343,47,1.08657679591819,"cluster4turquoise",1,0,0.119790143387108,0.119790143387108
"Plec",0.998149107234389,63.8557754300582,47,0.891446803879065,"cluster4turquoise",1,0,-0.165779385729949,-0.165779385729949
"Pkhd1",4.41577634727445e-06,175.732821749626,45,1.20661481825029,"cluster4turquoise",4.98982727242012e-05,4.30191448762975,0.270965205100911,0.270965205100911
"Pkhd1l1",0.000174709665360179,158.560123964361,46,0.965426144107607,"cluster4turquoise",0.00160692261976629,2.79400503587986,-0.0507621988447683,-0.0507621988447683
"Pik3cg",0.0370283056050757,126.666901340656,44,0.823771259925894,"cluster4turquoise",0.187752498292403,0.726414275429593,-0.279684301147412,-0.279684301147412
"Pik3ca",0.984235336726131,72.0415605128414,44,1.03748428481371,"cluster4turquoise",1,0,0.0530894835506031,0.0530894835506031
"Peg3",0.684277745977135,92.7290788999349,38,0.951561991706067,"cluster4turquoise",1,0,-0.0716304476222988,-0.0716304476222988
"Pclo",0.000250379252972166,156.74473745769,44,1.16946730757862,"cluster4turquoise",0.00223029267005612,2.65163814293823,0.225851531760073,0.225851531760073
"Pcdh15",5.03661854253863e-05,164.624368989048,41,1.11149315301126,"cluster4turquoise",0.000504299400904817,3.29731154777164,0.15249906114302,0.15249906114302
"Pcdh11x",5.42551042287627e-39,409.062275403891,47,1.33919669097184,"cluster4turquoise",4.3791619841787e-37,20,0.421367868242522,0.4
"Pappa2",9.50389460135788e-09,200.827368675012,46,1.30982282013018,"cluster4turquoise",1.47403541758315e-07,6.83149208128285,0.389371671451738,0.389371671451738
"Pak7",0.17591854308241,113.033482666529,46,0.827114716166279,"cluster4turquoise",0.678788134527736,0.168265757919135,-0.273840657913207,-0.273840657913207
"P3h2",0.00377658728532277,141.864833783515,46,1.11847484528546,"cluster4turquoise",0.0256639221880611,1.59067697015664,0.161532810272744,0.161532810272744
"Oraov1",0.0196735048494139,131.256595611607,47,0.71713273305421,"cluster4turquoise",0.11036696692118,0.957160892463206,-0.479687924919224,-0.4
"Obscn",4.73569196250378e-07,185.25494858523,45,0.778772564827098,"cluster4turquoise",6.06137919472571e-06,5.2174285460468,-0.360726034256313,-0.360726034256313
"Nsd1",0.259258290035857,108.709069068423,44,1.15891712700283,"cluster4turquoise",0.912247808800545,0.0398871711279891,0.212777404362712,0.212777404362712
"Notch2",0.108904733635808,117.72107436502,38,0.917202113710308,"cluster4turquoise",0.466145261395694,0.331478726245587,-0.124688415245733,-0.124688415245733
"Notch1",7.32822076723084e-07,183.43451362579,34,0.970620447094821,"cluster4turquoise",9.11418652025094e-06,5.04028208790116,-0.0430208426447358,-0.0430208426447358
"Neb",0.801602599355644,87.8708600571108,43,1.15500937306659,"cluster4turquoise",1,0,0.207904559365845,0.207904559365845
"Nav3",0.0386758758903089,126.336379581534,38,1.08524308035557,"cluster4turquoise",0.194362247962099,0.711388086600751,0.118018223817673,0.118018223817673
"Myh8",0.215567827941286,110.84092968964,45,1.12702861646717,"cluster4turquoise",0.796051129325664,0.0990590371984124,0.172524147551962,0.172524147551962
"Myh2",0.0134959927261026,133.830658984081,46,0.919106360916866,"cluster4turquoise",0.0794295405234165,1.10001794970948,-0.121696272014624,-0.121696272014624
