"","Atf3","Nr4a1","Ccn1","Hspa1a","Fos","Egr1","Fosb","Zfp36","Btg2","Jun","Dnajb1","Rhob","Hspa1b","Klf6","Socs3","Jund","Dusp1","Junb","Sfn","Ier2","Klf4","Gm26532","Ubc","Nfkbiz","Ppp1r15a","clones"
"Cfh",4.74355085439045,2.98903974747883,3.84650474507297,3.73874101454022,26.819875851197,19.1840703987065,8.71409858178736,16.787693325916,3.12887133355578,18.6248063514067,5.20879508665629,2.40062579271147,5.4477498551696,2.84198264173549,1.53028680878427,30.3361140527109,11.8540979386922,10.9345493948403,17.9851636552749,4.58995091327619,8.0996174405579,1.80017329944427,10.8788355039621,1.55118244476009,0.951790523012029,8.21431912080077
"Col11a1",2.82012818868598,1.3735574475423,2.72431591514722,1.62795163605684,23.5954201168627,16.4639464234643,7.45937913155417,14.9419640418147,2.51269650262437,15.9448275776216,3.29052205623799,2.32464462316172,3.49190732965804,2.13467182990484,1.23454471462093,27.7617805195376,11.869803495729,8.60196638682185,15.7761015268242,4.55503749104307,7.65176734153614,1.50783300690007,11.8901652370912,1.21461581624095,0.869541744301323,7.4093909361377
"Col1a2",1.8513150276548,1.38720209496589,3.55615899078385,1.43501502140075,17.8455530605428,13.3095985251748,5.70000848598211,11.4056348616691,1.52697761558806,10.6395509158544,2.60217367472856,1.85677580607885,3.15133132726667,2.43929699643949,0.541859406409906,24.2327690450802,7.80964126769763,7.39485055233087,16.0937179243178,3.59077384157667,7.1843861880344,1.2859059238168,10.3734090329784,1.09385294587258,0.762783720250849,7.6724253419715
"Col22a1",2.30798180789064,1.31147068843956,2.31438569772642,1.55681459145164,23.5481025487487,16.7764999307421,6.30704926557469,14.0414067869957,1.5817401607197,15.2275935267892,2.97060675480333,2.23237496538524,2.94269365989268,2.89223763481323,0.663427697881933,30.4733223507948,10.1752842496242,9.34116453422702,16.2808618486077,4.04782738422496,6.49852031867042,1.38534591869203,9.0404762790687,1.16979645447996,0.959996627215736,8.39660478118186
"Col4a4",3.85228127311919,1.82029681323739,2.15296624260819,3.0204068937049,17.8136195688494,11.3870529475258,6.23924410693903,11.8952342651832,1.88424718911275,12.0783530684019,3.16674419672103,1.00015994339811,5.0643933815521,3.08450032354305,0.925573535842489,24.0957969508614,8.91403331123862,7.80790937909275,14.5351149515339,3.33388245671117,6.94647260337949,1.22676302978392,8.3846261838616,1.04683978994651,0.62334028305148,7.19967234483636
"Col6a3",6.48382192520575,4.26967504206725,4.6387235862352,2.10460353219623,34.2626253404608,21.5061081483503,10.3893289496065,19.1739512340922,3.68295889878028,22.9796299305231,5.01455608064873,3.88317225721137,4.96708673305923,4.17041301149952,1.51728383017102,36.5696703646979,14.4366458678132,12.4179186822123,17.9997159032969,6.26615841128486,8.87470322915477,2.33393007110094,12.6003659090882,1.97089434391666,0.98183143420029,8.60362634498619
"Col6a5",3.5333092056558,1.80906637495986,2.65212180761843,1.79171759774856,24.8012979590946,13.004566935206,7.38806990734319,14.0993300451081,1.86922541999333,17.4795712987512,3.18434414670773,2.16603301248968,3.73727046853956,2.86379839731409,0.999626661802278,24.1329579843892,10.711231212279,8.99096295380521,15.5238477588807,3.64650134311746,8.86173699561014,2.13998990951032,9.9790512343548,1.74758903499896,0.640326444965898,6.93073733756289
"Col6a6",3.00453789440068,2.08861450906068,2.76157940051781,2.34170658480668,22.7137386822702,15.8779189695286,7.13098513316084,17.3349069302361,1.83427936353913,15.201384210101,3.72980289355772,2.54527961090418,3.6362719238238,2.70651744495621,1.26332888790559,28.473569171776,10.0334850773184,8.99071131650562,16.1195345028435,4.09438027542436,6.61827260023363,1.55299521999585,11.3883132678084,1.60053639161303,0.897333528017777,8.19967234483636
"Crebbp",4.09528345083364,2.45147542708874,3.03444385762101,1.44609997848276,20.5492064164046,16.3804885706094,6.3592926882511,11.4397244248737,1.8877129477785,14.4051813406796,2.98312184080595,2.3248985286882,3.50308738140431,3.05230595825336,0.76385838831545,29.5394278196169,8.71119267906149,7.48676581405033,13.2795319814675,3.41859780222118,8.02584533433305,1.91263741089604,9.29608267068523,1.10882495713999,0.918086074103703,6.79441586635011
"Csmd1",3.21387951617168,2.52833879097,3.10057538416594,1.65869503214548,19.5937438094712,12.9641533954873,5.29977707505165,11.3761356848265,2.05611489324574,14.6792627668332,2.74932240465462,1.97872975484073,3.12894316261172,2.81011313727069,0.736881834910887,28.5852646771383,9.97822948565945,8.11558396364947,15.2560958384892,3.89804848300417,8.1790606451259,1.80134155544194,8.10608772469937,1.0391319278498,0.564486494946372,7.8703647195834
