sgRNA	Gene	IgG_1_2	IgG_2_2	IgG_3_2	IgG_4_2	IgG_5_2	IgG_6_2	TNF_1_2	TNF_2_2	TNF_3_2	TNF_4_2	TNF_5_2	TNF_6_2	CD48_1_2	CD48_2_2	CD48_3_2	CD48_4_2	CD48_5_2	CD48_6_2	CD115_1_2	CD115_2_2	CD115_3_2	CD115_4_2	CD115_5_2	CD115_6_2	IgG_1_1	IgG_2_1	IgG_3_1	IgG_4_1	IgG_5_1	IgG_6_1	IgG_7_1	IgG_8_1	CD115_1_1	CD115_2_1	CD115_3_1	CD115_4_1	CD115_5_1	CD115_6_1	CD115_7_1	CD115_8_1	CD48_1_1	CD48_2_1	CD48_3_1	CD48_4_1	CD48_5_1	CD48_6_1	TNF_1_1	TNF_2_1	TNF_3_1	TNF_4_1	TNF_5_1	TNF_6_1
ctrl_sgRNA.49	ctrl	361	87	492	58	3314	10522	41	513	158	105	31141	88	5194	7658	864	51	2152	11461	3108	72	36441	10966	3289	168	128277	54426	4027	28438	4267	17501	217	2426	38199	12840	19792	20696	5347	2514	44712	511930	13082	16703	583	4159	1087	594	1820	14305	973	590	761	512
ctrl_sgRNA.12	ctrl	35	1	23	3	11	26	440	1676	39	3273	3596	398	5600	43	8637	72	5226	22568	4850	147	2517	12	36	62	44160	34779	4556	4485	1181	4048	894	1483	9696	469	9790	57846	10885	2693	30989	672048	197731	5508	1386	21426	566	444	2410	7383	294	384	184	2888
ctrl_sgRNA.11	ctrl	69	9	73	597	2310	4252	32	7	62	17	17055	79	625	2	2	415	103	206	5570	23	81	2450	9751	88	83194	13660	2010	46808	181	707	61	1569	21325	42754	4384	23318	1962	671	20453	77942	107718	17637	865	4974	175	4656	411	5176	107	1948	96	2093
ctrl_sgRNA.47	ctrl	235	4	34	27	36	5088	23	13	134	8565	4774	1557	7465	61	193	1569	4029	32712	8325	19	2463	984	1840	179	46355	5190	887	6573	498	3609	1465	764	8616	5781	2741	163747	4048	1997	55264	407793	15017	69987	1015	53097	3213	2602	803	14297	80	2929	191	1340
ctrl_sgRNA.46	ctrl	129	484	223	1088	7873	15339	386	2267	3200	2884	62968	956	4932	23264	491	1203	182	13735	11513	353	2903	1852	1823	167	24257	14375	2839	11407	409	2784	3657	411	79155	4069	59220	32852	5232	1700	253270	155609	4450	176	1753	1258	1794	1064	4051	7875	1212	1798	306	3805
ctrl_sgRNA.39	ctrl	59	114	3	150	21	0	18	2	9	85	1067	1	3105	5	341	16	103	2	7649	19	60	7230	2985	24	22641	4978	368	973	804	4114	427	956	36254	3673	20922	2079	7588	649	74897	74362	396	88	561	442	2391	324	47	1842	30	136	408	253
ctrl_sgRNA.25	ctrl	59	0	7	5	70	0	106	56	3430	3099	61451	198	11	2	5	694	45	3	12080	17	71	26	143	18	50436	11349	4111	6642	435	9640	280	9404	143784	15112	29833	38638	6666	2000	269584	175125	1085	1765	1635	1518	368	108	1338	17827	130	2997	506	3379
ctrl_sgRNA.19	ctrl	232	1	30	0	1	0	163	100	6	0	5	0	231	0	8	0	0	63	10	7	6669	10	13	6	98	2846	390	274	339	2058	136	120	4882	100	2171	349	6532	786	107324	53647	66438	11590	947	2684	1328	165	42	2255	80	4708	111	2413
ctrl_sgRNA.32	ctrl	30	16	235	1	2	1	9	18	38	2	0	0	3780	17683	8766	1361	81	2104	5065	105	26371	86	79	46	2311	23168	178	3941	27	632	743	807	44973	5407	25862	4531	739	652	581	131312	6991	225	201	963	133	45	37	9094	67	4958	97	563
ctrl_sgRNA.40	ctrl	17	0	172	0	11	0	6	1	25	1	1920	3	160	0	47	0	3	0	2714	53	35456	57	2224	51	5173	1979	58	1147	581	1150	1036	6455	4215	26974	5818	27065	6787	276	14413	1049	46904	13853	489	2279	328	472	321	17088	81	2220	168	7674
