"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ctrl_sgRNA.48",698.352996785782,0.24291274411897,0.94739379240937,0.256401029925692,0.797641192667444,0.921504857958568
"ctrl_sgRNA.9",3011.44930232796,0.0412871650720526,0.8423990302186,0.0490114109715187,0.960910202229256,0.970616365888138
"ctrl_sgRNA.7",950.721010256239,1.48747205756828,0.836835112388814,1.77749718618065,0.0754864733858732,0.424610950460675
"ctrl_sgRNA.4",1150.48591057051,0.47980027681436,1.05877831139384,0.45316405866184,0.650430610890384,0.903129306756752
"ctrl_sgRNA.29",1569.13165207746,-0.279938814823013,1.08061863810092,-0.259054216679973,0.795593408988826,0.921504857958568
"ctrl_sgRNA.6",2432.23815348188,3.51088346578131,1.09819705891376,3.19695216562862,0.00138887956484615,0.0231479927474358
"ctrl_sgRNA.33",615.099257282984,0.526347458563593,1.12765123947648,0.466764403866529,0.640668445896528,0.901790355290197
"Abca13",12096.8196202626,-0.386899125932011,0.576806509551548,-0.670760678884875,0.502373000563438,0.849291194217397
"Adgrb3",7466.6388508999,1.00223083331855,0.623857979540892,1.60650479145287,0.108163043024864,0.441481808264751
"Adgrl2",4527.47940026079,-0.716260902366431,0.743778465362637,-0.963003011948202,0.335546011757371,0.762604572175844
"Adgrl3",5698.80218349065,-0.137217773385551,0.602730654071368,-0.227660186948619,0.819910425883667,0.921504857958568
"Adgrv1",9851.86366448996,-0.231854148809542,0.622313117521326,-0.372568313734118,0.709469759526938,0.903783133155335
"Aff3",7598.79454341777,-1.40853220272334,0.724412796800026,-1.9443778587917,0.0518499018600843,0.399552318969309
"Ahnak",21373.4361012668,-0.0383632978588454,0.514265464415497,-0.074598238679022,0.940534375550816,0.962522678010716
"Ahnak2",5605.8814855124,-0.0440381639676819,0.618880975433567,-0.0711577277631296,0.943272224450502,0.962522678010716
"Akap9",8087.54805401191,0.208041404938307,0.533746569471207,0.389775629180001,0.696702466393218,0.903783133155335
"Ank2",15940.2828219203,-1.08663451816587,0.642312575930645,-1.69175345289083,0.0906929919918084,0.426451286756737
"Ano1",7164.78093241405,-0.625748516365688,0.564621449781958,-1.10826203398283,0.267748666883854,0.690825475505475
"Apob",2923.84133063805,-0.0429762210387073,0.602655923847123,-0.0713113724401209,0.94314994437554,0.962522678010716
"Aspm",8117.24517594629,1.02038909529027,0.527772938278611,1.9333865404664,0.0531885980699036,0.399552318969309
"Cacna1e",9600.52722007795,0.530224829002773,0.590718502625693,0.897593061070493,0.369402539723844,0.790184635088893
"Casp8",6273.31632097911,0.661014683167455,0.542628137786621,1.21817251472386,0.223158422026537,0.646836005874019
"Ccnd1",3856.91871134187,0.562088623699836,0.533195942379837,1.05418773667152,0.291796973470568,0.711699935294068
"Cdh10",12648.7379969258,-1.06496341846089,0.612149497923009,-1.73971133207535,0.0819097185078282,0.424610950460675
"Cdh2",7803.68987926422,-0.108493196310257,0.51976366260803,-0.208735631432695,0.834654622919848,0.921504857958568
"Cdkn2a",3510.79172277188,-0.424108774082129,0.716953546932076,-0.591542891302983,0.554156725521901,0.891300677446295
"Cdkn2b",3197.88555177979,1.09245365113002,0.707094965124123,1.54498858712458,0.122349023964464,0.448726325858525
"Cfh",7016.51376233256,-0.333556724431019,0.491729226998561,-0.678334144315557,0.497559854261446,0.849291194217397
"Col11a1",10140.8738858467,-0.0385756698514927,0.538545444652561,-0.0716293680218195,0.942896867796999,0.962522678010716
"Col1a2",5031.24593151201,-0.334587840402696,0.607518205459132,-0.550745372560203,0.581808236524314,0.891300677446295
"Col22a1",12798.7054899555,-0.466447982886847,0.628373629061043,-0.742309927270252,0.457899578454142,0.840182712759893
"Col4a4",9112.72372932741,0.387538006789622,0.579178919199876,0.669116215978645,0.503421346531595,0.849291194217397
"Col6a3",10099.6230151813,-0.733109433936907,0.493793889595954,-1.48464662966318,0.13763745638105,0.466567648749322
"Col6a5",9442.67064631007,0.770697297565878,0.653183999800939,1.17990841447548,0.238036642844909,0.680104693842597
"Col6a6",6965.86871722972,-0.548885915226624,0.473556882567495,-1.15907071659632,0.24642736107198,0.689875350426765
"Crebbp",3325.88505385111,-0.599458467918137,0.731149471383194,-0.819884977532811,0.412281681434247,0.81414003094493
